DATE,TOTAL_CASES,DEATHS
1-Mar-20,3,0
2-Mar-20,5,0
3-Mar-20,6,0
4-Mar-20,28,0
5-Mar-20,30,0
6-Mar-20,31,0
7-Mar-20,34,0
8-Mar-20,39,0
9-Mar-20,44,0
10-Mar-20,50,0
11-Mar-20,60,0
12-Mar-20,73,1
13-Mar-20,81,2
14-Mar-20,84,2
15-Mar-20,110,2
16-Mar-20,114,2
17-Mar-20,137,2
18-Mar-20,162,3
19-Mar-20,173,4
20-Mar-20,223,4
21-Mar-20,283,4
22-Mar-20,360,7
23-Mar-20,434,9
24-Mar-20,519,10
25-Mar-20,606,10
26-Mar-20,694,16
27-Mar-20,724,17
28-Mar-20,1008,24
29-Mar-20,1024,27
30-Mar-20,1200,29
